last_updated,requisition_id,job_id,job_title,agency,client,location,pay_rate_min,pay_rate_max,pay_type,rsvps,target_rsvps,status
2026-06-16T23:53:16.389229-05:00,FLEX-26849,10170763410,Material Handler,Indeed,Indeed Flex Applications,"Pittsburgh, PA",16.5,16.5,PayType.HOURLY,0,60,draft
2026-06-16T23:53:23.042975-05:00,FLEX-26848,10170757059,Loader / Crew,Indeed,Indeed Flex Applications,"Atlanta, GA",17.0,17.0,PayType.HOURLY,0,40,draft
2026-06-16T23:53:22.268727-05:00,FLEX-26842,10170757056,Machine Operator,Indeed,Ryerson,"Carrollton, TX",20.0,20.0,PayType.HOURLY,0,40,draft
2026-06-16T23:53:09.639659-05:00,FLEX-26841,10170757046,Warehouse Operative,Indeed,Indeed Flex Applications,"Phoenix, AZ",18.0,18.0,PayType.HOURLY,0,120,draft
2026-06-16T23:53:10.734932-05:00,FLEX-26839,10170757047,Concession Stand Worker,Indeed,Legends Hospitality,"Arlington, TX",17.0,17.0,PayType.HOURLY,0,1720,draft
2026-06-07T23:47:43.080031-05:00,FLEX-26585,10160662307,Assembler,Indeed,Indeed Flex Applications,"Fairfield, OH",14.0,14.0,PayType.HOURLY,0,40,draft
2026-06-07T23:47:49.656844-05:00,FLEX-26584,10160662310,Forklift Driver,Indeed,Indeed Flex Applications,"Mccarran, NV",21.5,21.5,PayType.HOURLY,0,40,draft
2026-06-07T23:47:43.208501-05:00,FLEX-26576,10160662305,Picker Packer,Indeed,Indeed Flex Applications,"North Haven, CT",17.0,19.0,PayType.HOURLY,0,40,draft
2026-06-05T00:06:21.552624-05:00,FLEX-26533,10158545464,Hospitality General Labor,Indeed,Indeed Flex Applications,"Nashville, TN",18.0,18.0,PayType.HOURLY,0,40,draft
2026-06-05T00:06:21.097997-05:00,FLEX-26530,10158545483,Loader / Crew,Indeed,Indeed Flex Applications,"Lancaster, TX",19.0,19.0,PayType.HOURLY,0,80,draft
2026-06-05T00:06:41.845144-05:00,FLEX-26514,10158545457,Warehouse Operative,Indeed,Indeed Flex Applications,"Nashville, TN",17.0,18.0,PayType.HOURLY,0,40,draft
2026-06-05T00:06:38.181483-05:00,FLEX-26507,10158545452,Forklift Driver,Indeed,Indeed Flex Applications,"North Haven, CT",19.0,19.0,PayType.HOURLY,0,40,draft
2026-06-05T00:06:42.331577-05:00,FLEX-26505,10158545476,Warehouse Operative,Indeed,Indeed Flex Applications,"Desoto, TX",18.0,18.0,PayType.HOURLY,0,360,draft
2026-06-02T23:50:31.890496-05:00,FLEX-26441,10155838100,Forklift Driver,Indeed,Indeed Flex Applications,"Las Vegas, NV",18.0,20.25,PayType.HOURLY,0,80,draft
2026-06-02T23:50:42.226128-05:00,FLEX-26409,10155836710,Warehouse Operative,Indeed,Indeed Flex Applications,"Middleburg Heights, OH",17.0,17.0,PayType.HOURLY,0,80,draft
2026-06-02T23:50:38.867086-05:00,FLEX-26407,10155836728,Warehouse Operative,Indeed,Indeed Flex Applications,"Woodbridge, IL",18.5,18.5,PayType.HOURLY,0,40,draft
2026-05-31T23:44:33.903809-05:00,FLEX-26297,10152215529,Loader / Crew,Indeed,Indeed Flex Applications,"Fort Worth, TX",18.0,18.0,PayType.HOURLY,0,100,draft
