Campaign,Keyword,Criterion Type,Level
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,forklift certification,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,warehouse manager,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,warehouse supervisor,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,cdl,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,truck driver,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,remote,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,work from home,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,amazon,Exact,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,ups,Exact,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,fedex,Exact,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,part time,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,salary,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,indeed,Exact,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,ctdi careers,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,forklift operator,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,warehouse lead,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,logistics manager,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,supply chain,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,training program,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,volunteer,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,internship,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,resume tips,Phrase,Campaign
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,interview tips,Phrase,Campaign
