Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"hiring event near me",Phrase,2.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"job fair orlando",Phrase,2.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"hiring event orlando fl",Phrase,2.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"walk in hiring event near me",Phrase,2.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"hiring event april 2026",Phrase,2.25,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"job fair near me today",Phrase,2.25,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"get hired on the spot orlando",Phrase,2.25,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"walk in hiring",Phrase,2.25,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"hiring event this weekend",Phrase,2.00,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG1 - Hiring Event,"hiring event florida",Phrase,2.00,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"loader jobs orlando fl",Phrase,2.00,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
