Campaign,Keyword,Criterion Type,Level
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,forklift certification,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,forklift operator,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,cdl,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,truck driver,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,remote,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,work from home,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,manager,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,supervisor,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,salary,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,indeed,Exact,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,cort careers,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,amazon,Exact,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,ups,Exact,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,fedex,Exact,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,driver,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,internship,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,volunteer,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,resume tips,Phrase,Campaign
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,interview tips,Phrase,Campaign
